OBJECTID,shape_id,route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_type_text,Shape__Length
271,119674,15703,79,Sylvan Hills,,3,https://itsmarta.com/79.aspx,FF8000,,Bus,0.111127649333748
272,119675,15733,133,Shallowford Road,,3,https://itsmarta.com/133.aspx,FFFF00,,Bus,0.0936395190904267
273,119676,15747,181,Washington Road / Fairburn,,3,https://itsmarta.com/181.aspx,FF8040,,Bus,0.255958217498524
274,119677,15748,183,Greenbriar,,3,https://itsmarta.com/183.aspx,008000,,Bus,0.0598284890702135
275,119678,15718,107,Glenwood,,3,https://itsmarta.com/107.aspx,008000,,Bus,0.220379938760285
276,119679,15748,183,Greenbriar,,3,https://itsmarta.com/183.aspx,008000,,Bus,0.163338190854406
277,119680,15749,185,Alpharetta,,3,https://itsmarta.com/185.aspx,FF8000,,Bus,0.23503935456776
278,119681,15756,194,Conley Road / Mt Zion,,3,https://itsmarta.com/194.aspx,008000,,Bus,0.351477500862876
279,119682,15761,295,Metropolitan Campus Express,,3,https://itsmarta.com/295.aspx,008000,,Bus,0.0325801506511353
280,119683,15671,9,Boulevard / Tilson Road,,3,https://itsmarta.com/9.aspx,00FFFF,,Bus,0.181513853344193
281,119684,15717,104,Winters Chapel Road,,3,https://itsmarta.com/104.aspx,00FFFF,,Bus,0.0379313616030385
282,119685,15732,132,Tilly Mill Road,,3,https://itsmarta.com/132.aspx,FF00FF,,Bus,0.0890284133743164
283,119686,15738,148,Mount Vernon Highway,,3,https://itsmarta.com/148.aspx,00FF00,,Bus,0.112835061994761
284,119687,15740,153,James Jackson Parkway,,3,https://itsmarta.com/153.aspx,FF8000,,Bus,0.0556828533271519
285,119688,15752,189,Flat Shoals Road / Scofield Road,,3,https://itsmarta.com/189.aspx,FF00FF,,Bus,0.181093199309414
286,119689,15759,201,Six Flags Over Georgia,,3,https://itsmarta.com/201.aspx,008000,,Bus,0.100212061526511
